customer_id,name,email,country,age,signup_date,marketing_opt_in,n_orders,first_order_date,last_order_date,total_revenue,avg_order_value,n_sessions,sessions_with_purchase,sessions_without_purchase,avg_session_duration_min,total_session_revenue
1,Jennifer Salinas,nicholas59@example.org,JP,71,2020-09-04,True,2.0,2022-03-18 04:16:29,2025-06-25 16:02:53,115.38999999999999,57.69499999999999,5.0,2.0,3.0,75.21666666666667,115.38999999999999
2,Phillip Ramos,christinarubio@example.com,IN,26,2020-04-05,False,2.0,2023-12-16 17:48:30,2025-01-02 02:48:29,68.52000000000001,34.260000000000005,3.0,2.0,1.0,80.33333333333333,68.52000000000001
3,Dawn Fowler,jessica03@example.org,BR,21,2023-08-31,True,1.0,2020-07-04 07:39:11,2020-07-04 07:39:11,66.72,66.72,5.0,1.0,4.0,75.19666666666667,66.72
4,Mario Butler,paula27@example.org,FR,63,2022-06-30,True,2.0,2020-09-29 03:07:16,2023-08-01 00:50:26,279.86,139.93,9.0,2.0,7.0,35.55555555555556,279.86
5,Amber Brown,kevin85@example.net,BR,19,2022-07-22,True,3.0,2024-06-15 21:36:57,2025-01-30 02:03:28,271.28999999999996,90.42999999999999,9.0,3.0,6.0,51.33518518518518,271.28999999999996
6,Kevin Chapman,michaelpoole@example.org,US,28,2020-10-21,False,4.0,2021-01-17 20:52:30,2024-11-27 15:35:22,387.40000000000003,96.85000000000001,7.0,4.0,3.0,66.03809523809524,387.40000000000003
7,Timothy Sanchez,shannonbrown@example.org,IN,48,2025-07-24,False,2.0,2020-09-08 02:27:02,2022-09-11 17:36:57,96.81,48.405,7.0,2.0,5.0,36.27142857142857,96.81
8,Rachael Morales,tammy08@example.com,GB,33,2022-10-09,True,1.0,2020-08-08 03:07:31,2020-08-08 03:07:31,207.4,207.4,5.0,1.0,4.0,56.6,207.4
9,Laura Guzman,awright@example.org,US,32,2024-07-29,True,1.0,2024-05-21 13:11:41,2024-05-21 13:11:41,122.51,122.51,4.0,1.0,3.0,48.125,122.51
10,Alexander Lopez,brianmaxwell@example.org,JP,39,2023-01-13,True,3.0,2022-12-22 14:22:57,2023-04-02 21:14:34,398.85,132.95000000000002,6.0,3.0,3.0,88.66666666666667,398.85
11,Mary Gonzalez,mgonzalez@example.net,MX,68,2022-01-11,True,0.0,,,0.0,0.0,4.0,0.0,4.0,40.25,0.0
12,Margaret Li,williambrown@example.net,US,70,2021-05-16,False,2.0,2023-04-24 00:55:52,2024-08-04 04:40:15,484.25,242.125,3.0,2.0,1.0,58.666666666666664,484.25
